id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
1082650,Hyderabad,21-05-2017,Krunal Pandya,Rajiv Gandhi International Stadium,1,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Mumbai Indians,runs,1,,Nigel Llong,Sundaram Ravi,1,0,0,1,
1136561,Mumbai,07-04-2018,Dwayne Bravo,Wankhede Stadium,0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,1,,Chris Gaffaney,Nand Kishore,0,0,0,0,Mumbai Indians
1136562,Chandigarh,08-04-2018,KL Rahul,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,field,Kings XI Punjab,wickets,6,,K. N. Ananthapadmanabhan,Rod Tucker,0,0,0,0,Kings XI Punjab
1136563,Kolkata,08-04-2018,Sunil Narine,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4,,Chettithody Shamshuddin,Abhijit Deshmukh,0,0,0,0,Kolkata Knight Riders
1136564,Hyderabad,09-04-2018,Shikhar Dhawan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9,,Vineet Kulkarni,Nigel Llong,0,0,0,0,Sunrisers Hyderabad
1136565,Chennai,10-04-2018,Sam Billings,MA Chidambaram Stadium,0,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,wickets,5,,Chris Gaffaney,Anil Chaudhary,0,0,0,0,Chennai Super Kings
1136566,Jaipur,11-04-2018,Sanju Samson,Sawai Mansingh Stadium,0,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,10,D/L,K. N. Ananthapadmanabhan,Nitin Menon,0,0,0,0,Rajasthan Royals
1136567,Hyderabad,12-04-2018,Rashid Khan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,1,,Nigel Llong,C. K. Nandan,0,0,0,0,Sunrisers Hyderabad
1136568,Bangalore,13-04-2018,Umesh Yadav,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4,,Abhijit Deshmukh,Sundaram Ravi,0,0,0,0,Royal Challengers Bangalore
1136569,Mumbai,14-04-2018,Jason Roy,Wankhede Stadium,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7,,K. N. Ananthapadmanabhan,Nitin Menon,0,0,0,0,Mumbai Indians
1136570,Kolkata,14-04-2018,Billy Stanlake,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,,Anil Chaudhary,Nand Kishore,0,0,0,0,Kolkata Knight Riders
1136571,Bangalore,15-04-2018,Sanju Samson,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,runs,19,,Chettithody Shamshuddin,Sundaram Ravi,0,0,0,0,Royal Challengers Bangalore
1136572,Chandigarh,15-04-2018,Chris Gayle,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,runs,4,,Vineet Kulkarni,C. K. Nandan,0,0,0,0,Kings XI Punjab
1136573,Kolkata,16-04-2018,Nitish Rana,Eden Gardens,0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,71,,Anil Chaudhary,Nand Kishore,0,0,0,0,Kolkata Knight Riders
1136574,Mumbai,17-04-2018,Rohit Sharma,Wankhede Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,runs,46,,Rod Tucker,Nitin Menon,0,0,0,0,Mumbai Indians
1136575,Jaipur,18-04-2018,Nitish Rana,Sawai Mansingh Stadium,0,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,,Abhijit Deshmukh,Sundaram Ravi,0,0,0,0,Rajasthan Royals
1136576,Chandigarh,19-04-2018,Chris Gayle,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Kings XI Punjab,runs,15,,Nigel Llong,Anil Chaudhary,0,0,0,0,Kings XI Punjab
1136577,Pune,20-04-2018,Shane Watson,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,64,,K. N. Ananthapadmanabhan,Nitin Menon,0,0,0,0,Chennai Super Kings
1136578,Kolkata,21-04-2018,KL Rahul,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,9,D/L,Chettithody Shamshuddin,Abhijit Deshmukh,0,0,0,0,Kolkata Knight Riders
1136579,Bangalore,21-04-2018,AB de Villiers,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6,,Chris Gaffaney,C. K. Nandan,0,0,0,0,Royal Challengers Bangalore
1136580,Hyderabad,22-04-2018,Ambati Rayudu,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,runs,4,,Vineet Kulkarni,Anil Chaudhary,0,0,0,0,Sunrisers Hyderabad
1136581,Jaipur,22-04-2018,Jofra Archer,Sawai Mansingh Stadium,0,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Rajasthan Royals,wickets,3,,K. N. Ananthapadmanabhan,Rod Tucker,0,0,0,0,Rajasthan Royals
1136582,Delhi,23-04-2018,Ankit Rajpoot,Arun Jaitley Stadium,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Kings XI Punjab,runs,4,,Nand Kishore,C. K. Nandan,0,0,0,0,Delhi Capitals
1136583,Mumbai,24-04-2018,Rashid Khan,Wankhede Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,runs,31,,Chettithody Shamshuddin,Sundaram Ravi,0,0,0,0,Mumbai Indians
1136584,Bangalore,25-04-2018,Mahendra Singh Dhoni,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5,,Nigel Llong,Virender Sharma,0,0,0,0,Royal Challengers Bangalore
1136585,Hyderabad,26-04-2018,Ankit Rajpoot,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,13,,Yeshwant Barde,C. K. Nandan,0,0,0,0,Sunrisers Hyderabad
1136586,Delhi,27-04-2018,Shreyas Iyer,Arun Jaitley Stadium,0,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,55,,Chettithody Shamshuddin,Sundaram Ravi,0,0,0,0,Delhi Capitals
1136587,Pune,28-04-2018,Rohit Sharma,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8,,Chris Gaffaney,Nitin Menon,0,0,0,0,Chennai Super Kings
1136588,Jaipur,29-04-2018,Kane Williamson,Sawai Mansingh Stadium,0,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,11,,Bruce Oxenford,Nand Kishore,0,0,0,0,Rajasthan Royals
1136589,Bangalore,29-04-2018,Chris Lynn,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,,Nigel Llong,Anil Chaudhary,0,0,0,0,Royal Challengers Bangalore
1136590,Pune,30-04-2018,Shane Watson,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,13,,Anil Dandekar,Chettithody Shamshuddin,0,0,0,0,Chennai Super Kings
1136591,Bangalore,01-05-2018,Tim Southee,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,runs,14,,Marais Erasmus,Nitin Menon,0,0,0,0,Royal Challengers Bangalore
1136592,Delhi,02-05-2018,Rishabh Pant,Arun Jaitley Stadium,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,4,D/L,Virender Sharma,C. K. Nandan,0,0,0,0,Delhi Capitals
1136593,Kolkata,03-05-2018,Sunil Narine,Eden Gardens,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,,Kumar Dharmasena,Abhijit Deshmukh,0,0,0,0,Kolkata Knight Riders
1136594,Indore,04-05-2018,Suryakumar Yadav,Holkar Cricket Stadium,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6,,Anil Dandekar,Sundaram Ravi,0,0,0,0,Kings XI Punjab
1136595,Pune,05-05-2018,Ravindra Jadeja,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,wickets,6,,Nitin Menon,Yeshwant Barde,0,0,0,0,Chennai Super Kings
1136596,Hyderabad,05-05-2018,Rashid Khan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,7,,Bruce Oxenford,C. K. Nandan,0,0,0,0,Sunrisers Hyderabad
1136597,Mumbai,06-05-2018,Hardik Pandya,Wankhede Stadium,0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,13,,Kumar Dharmasena,Abhijit Deshmukh,0,0,0,0,Mumbai Indians
1136598,Indore,06-05-2018,Mujeeb Ur Rahman,Holkar Cricket Stadium,0,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Kings XI Punjab,wickets,6,,Chettithody Shamshuddin,Sundaram Ravi,0,0,0,0,Kings XI Punjab
1136599,Hyderabad,07-05-2018,Kane Williamson,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,5,,Bruce Oxenford,Virender Sharma,0,0,0,0,Sunrisers Hyderabad
1136600,Jaipur,08-05-2018,Jos Buttler,Sawai Mansingh Stadium,0,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,runs,15,,Marais Erasmus,Nitin Menon,0,0,0,0,Rajasthan Royals
1136601,Kolkata,09-05-2018,Ishan Kishan,Eden Gardens,0,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,runs,102,,K. N. Ananthapadmanabhan,Anil Chaudhary,0,0,0,0,Kolkata Knight Riders
1136602,Delhi,10-05-2018,Shikhar Dhawan,Arun Jaitley Stadium,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,9,,Anil Dandekar,Chettithody Shamshuddin,0,0,0,0,Delhi Capitals
1136603,Jaipur,11-05-2018,Jos Buttler,Sawai Mansingh Stadium,0,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,4,,Marais Erasmus,Yeshwant Barde,0,0,0,0,Rajasthan Royals
1136604,Indore,12-05-2018,Sunil Narine,Holkar Cricket Stadium,0,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,Kolkata Knight Riders,runs,31,,Virender Sharma,C. K. Nandan,0,0,0,0,Kings XI Punjab
1136605,Delhi,12-05-2018,AB de Villiers,Arun Jaitley Stadium,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,5,,K. N. Ananthapadmanabhan,Kumar Dharmasena,0,0,0,0,Delhi Capitals
1136606,Pune,13-05-2018,Ambati Rayudu,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,wickets,8,,Marais Erasmus,Yeshwant Barde,0,0,0,0,Chennai Super Kings
1136607,Mumbai,13-05-2018,Jos Buttler,Wankhede Stadium,0,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,,Nitin Menon,Sundaram Ravi,0,0,0,0,Mumbai Indians
1136608,Indore,14-05-2018,Umesh Yadav,Holkar Cricket Stadium,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,10,,Bruce Oxenford,Virender Sharma,0,0,0,0,Kings XI Punjab
1136609,Kolkata,15-05-2018,Kuldeep Yadav,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,,Kumar Dharmasena,Anil Chaudhary,0,0,0,0,Kolkata Knight Riders
1136610,Mumbai,16-05-2018,Jasprit Bumrah,Wankhede Stadium,0,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,3,,Marais Erasmus,Nitin Menon,0,0,0,0,Mumbai Indians
1136611,Bangalore,17-05-2018,AB de Villiers,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,14,,Anil Dandekar,Sundaram Ravi,0,0,0,0,Royal Challengers Bangalore
1136612,Delhi,18-05-2018,Harshal Patel,Arun Jaitley Stadium,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,runs,34,,Vineet Kulkarni,Kumar Dharmasena,0,0,0,0,Delhi Capitals
1136613,Jaipur,19-05-2018,Shreyas Gopal,Sawai Mansingh Stadium,0,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,runs,30,,Bruce Oxenford,Virender Sharma,0,0,0,0,Rajasthan Royals
1136614,Hyderabad,19-05-2018,Chris Lynn,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,5,,Anil Chaudhary,Sundaram Ravi,0,0,0,0,Sunrisers Hyderabad
1136615,Delhi,20-05-2018,Amit Mishra,Arun Jaitley Stadium,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Delhi Capitals,runs,11,,Kumar Dharmasena,C. K. Nandan,0,0,0,0,Delhi Capitals
1136616,Pune,20-05-2018,Lungi Ngidi,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Chennai Super Kings,wickets,5,,Nitin Menon,Yeshwant Barde,0,0,0,0,Chennai Super Kings
1136617,Mumbai,22-05-2018,Faf du Plessis,Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,2,,Chettithody Shamshuddin,Marais Erasmus,1,0,1,0,
1136618,Kolkata,23-05-2018,Andre Russell,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,25,,Anil Chaudhary,Nitin Menon,1,1,0,0,Kolkata Knight Riders
1136619,Kolkata,25-05-2018,Rashid Khan,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,14,,Kumar Dharmasena,Nitin Menon,1,0,1,0,Kolkata Knight Riders
1136620,Mumbai,27-05-2018,Shane Watson,Wankhede Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,wickets,8,,Marais Erasmus,Sundaram Ravi,1,0,0,1,
1175356,Chennai,23-03-2019,Harbhajan Singh,MA Chidambaram Stadium,0,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,wickets,7,,Anil Dandekar,Bruce Oxenford,0,0,0,0,Chennai Super Kings
1175357,Kolkata,24-03-2019,Andre Russell,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,,Chris Gaffaney,Anil Chaudhary,0,0,0,0,Kolkata Knight Riders
1175358,Mumbai,24-03-2019,Rishabh Pant,Wankhede Stadium,0,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,runs,37,,Yeshwant Barde,Sundaram Ravi,0,0,0,0,Mumbai Indians
1175359,Jaipur,25-03-2019,Chris Gayle,Sawai Mansingh Stadium,0,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,Kings XI Punjab,runs,14,,K. N. Ananthapadmanabhan,Chettithody Shamshuddin,0,0,0,0,Rajasthan Royals
1175360,Delhi,26-03-2019,Shane Watson,Arun Jaitley Stadium,0,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,wickets,6,,Marais Erasmus,Nitin Menon,0,0,0,0,Delhi Capitals
1175361,Kolkata,27-03-2019,Andre Russell,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,runs,28,,Vineet Kulkarni,Anil Chaudhary,0,0,0,0,Kolkata Knight Riders
1175362,Bangalore,28-03-2019,Jasprit Bumrah,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,runs,6,,C. K. Nandan,Sundaram Ravi,0,0,0,0,Royal Challengers Bangalore
1175363,Hyderabad,29-03-2019,Rashid Khan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,wickets,5,,Chettithody Shamshuddin,Bruce Oxenford,0,0,0,0,Sunrisers Hyderabad
1175364,Chandigarh,30-03-2019,Mayank Agarwal,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,field,Kings XI Punjab,wickets,8,,Vineet Kulkarni,Chris Gaffaney,0,0,0,0,Kings XI Punjab
1175365,Delhi,30-03-2019,Prithvi Shaw,Arun Jaitley Stadium,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,tie,,,Anil Dandekar,Nitin Menon,0,0,0,0,Delhi Capitals
1175366,Hyderabad,31-03-2019,Jonny Bairstow,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,118,,K. N. Ananthapadmanabhan,Sundaram Ravi,0,0,0,0,Sunrisers Hyderabad
1175367,Chennai,31-03-2019,Mahendra Singh Dhoni,MA Chidambaram Stadium,0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,8,,Yeshwant Barde,C. K. Nandan,0,0,0,0,Chennai Super Kings
1175368,Chandigarh,01-04-2019,Sam Curran,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,runs,14,,Chris Gaffaney,Anil Chaudhary,0,0,0,0,Kings XI Punjab
1175369,Jaipur,02-04-2019,Shreyas Gopal,Sawai Mansingh Stadium,0,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,wickets,7,,Anil Dandekar,Marais Erasmus,0,0,0,0,Rajasthan Royals
1175370,Mumbai,03-04-2019,Hardik Pandya,Wankhede Stadium,0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,37,,Rod Tucker,Bruce Oxenford,0,0,0,0,Mumbai Indians
1175371,Delhi,04-04-2019,Jonny Bairstow,Arun Jaitley Stadium,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,,K. N. Ananthapadmanabhan,Chettithody Shamshuddin,0,0,0,0,Delhi Capitals
1175372,Bangalore,05-04-2019,Andre Russell,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5,,Chris Gaffaney,Anil Chaudhary,0,0,0,0,Royal Challengers Bangalore
1178393,Chennai,06-04-2019,Harbhajan Singh,MA Chidambaram Stadium,0,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,22,,K. N. Ananthapadmanabhan,Rod Tucker,0,0,0,0,Chennai Super Kings
1178394,Hyderabad,06-04-2019,Alzarri Joseph,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,runs,40,,Anil Dandekar,Nitin Menon,0,0,0,0,Sunrisers Hyderabad
1178395,Bangalore,07-04-2019,Kagiso Rabada,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4,,Yeshwant Barde,Sundaram Ravi,0,0,0,0,Royal Challengers Bangalore
1178396,Jaipur,07-04-2019,Harry Gurney,Sawai Mansingh Stadium,0,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8,,Chris Gaffaney,Anil Chaudhary,0,0,0,0,Rajasthan Royals
1178397,Chandigarh,08-04-2019,KL Rahul,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Kings XI Punjab,wickets,6,,Anil Dandekar,Marais Erasmus,0,0,0,0,Kings XI Punjab
1178398,Chennai,09-04-2019,Deepak Chahar,MA Chidambaram Stadium,0,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,wickets,7,,Rod Tucker,Chettithody Shamshuddin,0,0,0,0,Chennai Super Kings
1178399,Mumbai,10-04-2019,Kieron Pollard,Wankhede Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,wickets,3,,Yeshwant Barde,Sundaram Ravi,0,0,0,0,Mumbai Indians
1178400,Jaipur,11-04-2019,Mahendra Singh Dhoni,Sawai Mansingh Stadium,0,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4,,Ulhas Gandhe,Bruce Oxenford,0,0,0,0,Rajasthan Royals
1178401,Kolkata,12-04-2019,Shikhar Dhawan,Eden Gardens,0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7,,Yeshwant Barde,C. K. Nandan,0,0,0,0,Kolkata Knight Riders
1178402,Mumbai,13-04-2019,Jos Buttler,Wankhede Stadium,0,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4,,Nitin Menon,Nand Kishore,0,0,0,0,Mumbai Indians
1178403,Chandigarh,13-04-2019,AB de Villiers,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,8,,Ulhas Gandhe,Sundaram Ravi,0,0,0,0,Kings XI Punjab
1178404,Kolkata,14-04-2019,Imran Tahir,Eden Gardens,0,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5,,Rod Tucker,C. K. Nandan,0,0,0,0,Kolkata Knight Riders
1178405,Hyderabad,14-04-2019,Keemo Paul,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,runs,39,,Bruce Oxenford,Anil Chaudhary,0,0,0,0,Sunrisers Hyderabad
1178406,Mumbai,15-04-2019,Lasith Malinga,Wankhede Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,wickets,5,,Marais Erasmus,Nitin Menon,0,0,0,0,Mumbai Indians
1178407,Chandigarh,16-04-2019,Ravichandran Ashwin,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,12,,Vineet Kulkarni,Anil Chaudhary,0,0,0,0,Kings XI Punjab
1178408,Hyderabad,17-04-2019,David Warner,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Sunrisers Hyderabad,wickets,6,,Ulhas Gandhe,Ian Gould,0,0,0,0,Sunrisers Hyderabad
1178409,Delhi,18-04-2019,Hardik Pandya,Arun Jaitley Stadium,0,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,40,,Bruce Oxenford,Nigel Llong,0,0,0,0,Delhi Capitals
1178410,Kolkata,19-04-2019,Virat Kohli,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,runs,10,,Ian Gould,Nitin Menon,0,0,0,0,Kolkata Knight Riders
1178411,Jaipur,20-04-2019,Steve Smith,Sawai Mansingh Stadium,0,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,5,,Yeshwant Barde,Sundaram Ravi,0,0,0,0,Rajasthan Royals
1178412,Delhi,20-04-2019,Shreyas Iyer,Arun Jaitley Stadium,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Delhi Capitals,wickets,5,,Ulhas Gandhe,Chettithody Shamshuddin,0,0,0,0,Delhi Capitals
1178413,Hyderabad,21-04-2019,Khaleel Ahmed,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9,,Nigel Llong,Nitin Menon,0,0,0,0,Sunrisers Hyderabad
1178414,Bangalore,21-04-2019,Parthiv Patel,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,runs,1,,Rod Tucker,Vineet Kulkarni,0,0,0,0,Royal Challengers Bangalore
1178415,Jaipur,22-04-2019,Rishabh Pant,Sawai Mansingh Stadium,0,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6,,Nand Kishore,Sundaram Ravi,0,0,0,0,Rajasthan Royals
1178416,Chennai,23-04-2019,Shane Watson,MA Chidambaram Stadium,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,wickets,6,,Nigel Llong,Anil Chaudhary,0,0,0,0,Chennai Super Kings
1178417,Bangalore,24-04-2019,AB de Villiers,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,runs,17,,Chettithody Shamshuddin,Bruce Oxenford,0,0,0,0,Royal Challengers Bangalore
1178418,Kolkata,25-04-2019,Varun Aaron,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,,Anil Dandekar,Ian Gould,0,0,0,0,Kolkata Knight Riders
1178419,Chennai,26-04-2019,Rohit Sharma,MA Chidambaram Stadium,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,runs,46,,Nigel Llong,Anil Chaudhary,0,0,0,0,Chennai Super Kings
