id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
980979,Visakhapatnam,10-05-2016,Adam Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,4,,Chris Gaffaney,Virender Sharma,0,0,0,0,Rising Pune Supergiant
980981,Bangalore,11-05-2016,Krunal Pandya,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6,,Anil Dandekar,Chettithody Shamshuddin,0,0,0,0,Royal Challengers Bangalore
980983,Hyderabad,12-05-2016,Chris Morris,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7,,Krishnamachari Bharatan,Marais Erasmus,0,0,0,0,Sunrisers Hyderabad
980985,Visakhapatnam,13-05-2016,Marcus Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,wickets,7,,Kumar Dharmasena,C. K. Nandan,0,0,0,0,Mumbai Indians
980987,Bangalore,14-05-2016,AB de Villiers,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,runs,144,,Anil Dandekar,Virender Sharma,0,0,0,0,Royal Challengers Bangalore
980989,Kolkata,14-05-2016,Yusuf Pathan,Eden Gardens,0,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,bat,Kolkata Knight Riders,wickets,8,D/L,Nand Kishore,Bruce Oxenford,0,0,0,0,Kolkata Knight Riders
980991,Chandigarh,15-05-2016,Hashim Amla,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,wickets,7,,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Kings XI Punjab
980993,Visakhapatnam,15-05-2016,Krunal Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,80,,Nitin Menon,C. K. Nandan,0,0,0,0,Mumbai Indians
980995,Kolkata,16-05-2016,Virat Kohli,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,9,,Chris Gaffaney,Nand Kishore,0,0,0,0,Kolkata Knight Riders
980997,Visakhapatnam,17-05-2016,Ashoke Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,Rising Pune Supergiant,runs,19,D/L,Nitin Menon,Chettithody Shamshuddin,0,0,0,0,Rising Pune Supergiant
980999,Bangalore,18-05-2016,Virat Kohli,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,runs,82,D/L,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Royal Challengers Bangalore
981001,Kanpur,19-05-2016,Dwayne Smith,Green Park Stadium,0,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,field,Gujarat Lions,wickets,6,,Anil Chaudhary,C. K. Nandan,0,0,0,0,Gujarat Lions
981003,Raipur,20-05-2016,Karun Nair,Shaheed Veer Narayan Singh International Stadium,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,wickets,6,,Nand Kishore,Bruce Oxenford,0,0,0,0,Delhi Capitals
981005,Visakhapatnam,21-05-2016,Mahendra Singh Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,bat,Rising Pune Supergiant,wickets,4,,Kumar Dharmasena,Nitin Menon,0,0,0,0,Rising Pune Supergiant
981007,Kanpur,21-05-2016,Suresh Raina,Green Park Stadium,0,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,Gujarat Lions,wickets,6,,Anil Chaudhary,C. K. Nandan,0,0,0,0,Gujarat Lions
981009,Kolkata,22-05-2016,Yusuf Pathan,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,22,,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Kolkata Knight Riders
981011,Raipur,22-05-2016,Virat Kohli,Shaheed Veer Narayan Singh International Stadium,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6,,Nand Kishore,Bruce Oxenford,0,0,0,0,Delhi Capitals
981013,Bangalore,24-05-2016,AB de Villiers,M.Chinnaswamy Stadium,0,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4,,Anil Chaudhary,Kumar Dharmasena,1,0,1,0,Royal Challengers Bangalore
981015,Delhi,25-05-2016,Moises Henriques,Arun Jaitley Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,22,,Marais Erasmus,Chettithody Shamshuddin,1,1,0,0,
981017,Delhi,27-05-2016,David Warner,Arun Jaitley Stadium,1,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,4,,Marais Erasmus,C. K. Nandan,1,0,1,0,
981019,Bangalore,29-05-2016,Ben Cutting,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,8,,Kumar Dharmasena,Bruce Oxenford,1,0,0,1,Royal Challengers Bangalore
1082591,Hyderabad,05-04-2017,Yuvraj Singh,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,35,,Anil Dandekar,Nigel Llong,0,0,0,0,Sunrisers Hyderabad
1082592,Pune,06-04-2017,Steve Smith,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,7,,Nand Kishore,Sundaram Ravi,0,0,0,0,Rising Pune Supergiant
1082593,Rajkot,07-04-2017,Chris Lynn,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,10,,Nitin Menon,C. K. Nandan,0,0,0,0,Gujarat Lions
1082594,Indore,08-04-2017,Glenn Maxwell,Holkar Cricket Stadium,0,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,wickets,6,,Anil Chaudhary,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
1082595,Bangalore,08-04-2017,Kedar Jadhav,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,15,,Sundaram Ravi,Virender Sharma,0,0,0,0,Royal Challengers Bangalore
1082596,Hyderabad,09-04-2017,Rashid Khan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9,,Abhijit Deshmukh,Nigel Llong,0,0,0,0,Sunrisers Hyderabad
1082597,Mumbai,09-04-2017,Nitish Rana,Wankhede Stadium,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,4,,Nitin Menon,C. K. Nandan,0,0,0,0,Mumbai Indians
